FIPS,county,jan1_2020_pop_est
1,Anderson,59120
3,Andrews,19588
5,Angelina,90669
7,Aransas,23649
9,Archer,9135
11,Armstrong,2028
13,Atascosa,51233
15,Austin,32344
17,Bailey,7082
19,Bandera,23360
21,Bastrop,90262
23,Baylor,3754
25,Bee,33571
27,Bell,362093
29,Bexar,2006193
31,Blanco,12365
33,Borden,686
35,Bosque,19146
37,Bowie,95897
39,Brazoria,382874
41,Brazos,233071
43,Brewster,9055
45,Briscoe,1599
47,Brooks,7060
49,Brown,38874
51,Burleson,18361
53,Burnet,49225
55,Caldwell,43501
57,Calhoun,22058
59,Callahan,14027
61,Cameron,426144
63,Camp,12936
65,Carson,5875
67,Cass,30243
69,Castro,7260
71,Chambers,44944
73,Cherokee,53558
75,Childress,7052
77,Clay,10317
79,Cochran,2890
81,Coke,3400
83,Coleman,8041
85,Collin,1047901
87,Collingsworth,2802
89,Colorado,22566
91,Comal,161328
93,Comanche,13848
95,Concho,2715
97,Cooke,40685
99,Coryell,75657
101,Cottle,1346
103,Crane,4670
105,Crockett,3465
107,Crosby,5658
109,Culberson,2228
111,Dallam,6929
113,Dallas,2647627
115,Dawson,12652
117,Deaf Smith,19572
119,Delta,5304
121,Denton,904005
123,De Witt,20459
125,Dickens,2054
127,Dimmit,9426
129,Donley,3170
131,Duval,10860
133,Eastland,18278
135,Ector,169394
137,Edwards,1979
139,Ellis,191469
141,El Paso,851888
143,Erath,43110
145,Falls,17432
147,Fannin,36727
149,Fayette,26522
151,Fisher,3897
153,Floyd,5445
155,Foard,1102
157,Fort Bend,818912
159,Franklin,10792
161,Freestone,20732
163,Frio,18937
165,Gaines,21258
167,Galveston,341146
169,Garza,5978
171,Gillespie,27617
173,Glasscock,1363
175,Goliad,8127
177,Gonzales,20819
179,Gray,21900
181,Grayson,136052
183,Gregg,126225
185,Grimes,29730
187,Guadalupe,169139
189,Hale,32864
191,Hall,2969
193,Hamilton,8637
195,Hansford,5288
197,Hardeman,3873
199,Hardin,59592
201,Harris,4703708
203,Harrison,68703
205,Hartley,5887
207,Haskell,5572
209,Hays,232080
211,Hemphill,3827
213,Henderson,83220
215,Hidalgo,888958
217,Hill,37470
219,Hockley,22603
221,Hood,61387
223,Hopkins,37475
225,Houston,23439
227,Howard,36421
229,Hudspeth,3683
231,Hunt,98685
233,Hutchinson,20439
235,Irion,1584
237,Jack,9305
239,Jackson,14256
241,Jasper,35353
243,Jeff Davis,2408
245,Jefferson,250803
247,Jim Hogg,5079
249,Jim Wells,39759
251,Johnson,175987
253,Jones,19745
255,Karnes,15778
257,Kaufman,140667
259,Kendall,47700
261,Kenedy,378
263,Kent,754
265,Kerr,53024
267,Kimble,4581
269,King,275
271,Kinney,3594
273,Kleberg,32158
275,Knox,3796
277,Lamar,50436
279,Lamb,12412
281,Lampasas,21395
283,La Salle,7391
285,Lavaca,20511
287,Lee,17432
289,Leon,17649
291,Liberty,93496
293,Limestone,23654
295,Lipscomb,3153
297,Live Oak,12208
299,Llano,21890
301,Loving,96
303,Lubbock,309880
305,Lynn,6243
307,McCulloch,8313
309,McLennan,255372
311,McMullen,748
313,Madison,14088
315,Marion,9662
317,Martin,5739
319,Mason,4318
321,Matagorda,36158
323,Maverick,58116
325,Medina,54612
327,Menard,2124
329,Midland,179232
331,Milam,25157
333,Mills,4875
335,Mitchell,8685
337,Montague,19712
339,Montgomery,609172
341,Moore,20902
343,Morris,12468
345,Motley,1196
347,Nacogdoches,64850
349,Navarro,52973
351,Newton,13103
353,Nolan,14150
355,Nueces,363776
357,Ochiltree,10246
359,Oldham,2131
361,Orange,82168
363,Palo Pinto,29069
365,Panola,24611
367,Parker,143504
369,Parmer,9325
371,Pecos,15033
373,Polk,50717
375,Potter,115471
377,Presidio,6302
379,Rains,12493
381,Randall,138549
383,Reagan,3895
385,Real,3464
387,Red River,11479
389,Reeves,16400
391,Refugio,6844
393,Roberts,832
395,Robertson,17613
397,Rockwall,105969
399,Runnels,10218
401,Rusk,54764
403,Sabine,10859
405,San Augustine,8409
407,San Jacinto,29652
409,San Patricio,67033
411,San Saba,6223
413,Schleicher,2727
415,Scurry,16556
417,Shackelford,3415
419,Shelby,24054
421,Sherman,3072
423,Smith,232675
425,Somervell,9605
427,Starr,63688
429,Stephens,9506
431,Sterling,1239
433,Stonewall,1380
435,Sutton,3619
437,Swisher,7435
439,Tarrant,2063496
441,Taylor,139083
443,Terrell,776
445,Terry,12538
447,Throckmorton,1407
449,Titus,33596
451,Tom Green,117791
453,Travis,1285526
455,Trinity,14457
457,Tyler,22966
459,Upshur,41262
461,Upton,3581
463,Uvalde,26260
465,Val Verde,50988
467,Van Zandt,56503
469,Victoria,90940
471,Walker,77300
473,Waller,55626
475,Ward,11635
477,Washington,35612
479,Webb,280547
481,Wharton,41279
483,Wheeler,5168
485,Wichita,132756
487,Wilbarger,12393
489,Willacy,21502
491,Williamson,602686
493,Wilson,52839
495,Winkler,8145
497,Wise,70078
499,Wood,45528
501,Yoakum,8773
503,Young,19294
505,Zapata,14280
507,Zavala,12077
509,State of Texas,29149480
